date_time,design_capacity,current_capacity,battery_wear,battery_health
2025-07-19 15:09,58000000,57630000,0.64%,99.36%
2025-07-20 20:47,58000000,57600000,0.69%,99.31%
2025-07-21 02:11,58000000,57600000,0.69%,99.31%
2025-07-21 10:13,58000000,57560000,0.76%,99.24%
2025-07-21 15:05,58000000,57560000,0.76%,99.24%
2025-07-21 16:23,58000000,57560000,0.76%,99.24%
2025-07-21 16:30,58000000,57560000,0.76%,99.24%
2025-07-21 16:41,58000000,57560000,0.76%,99.24%
2025-07-21 17:26,58000000,57560000,0.76%,99.24%
2025-07-22 21:35,58000000,57560000,0.76%,99.24%
2025-07-23 09:48,58000000,57560000,0.76%,99.24%
2025-07-23 15:30,58000000,57560000,0.76%,99.24%
2025-07-24 01:48,58000000,57560000,0.76%,99.24%
2025-07-24 19:50,58000000,57560000,0.76%,99.24%
2025-07-24 21:16,58000000,57560000,0.76%,99.24%
2025-07-25 00:39,58000000,57560000,0.76%,99.24%
2025-07-25 19:19,58000000,57560000,0.76%,99.24%
2025-07-26 01:14,58000000,57560000,0.76%,99.24%
2025-07-26 12:45,58000000,57560000,0.76%,99.24%
2025-07-26 21:41,58000000,57560000,0.76%,99.24%
2025-07-29 12:33,58000000,57530000,0.81%,99.19%
2025-07-30 23:15,58000000,57530000,0.81%,99.19%
2025-07-31 20:19,58000000,57530000,0.81%,99.19%
2025-08-01 12:04,58000000,57530000,0.81%,99.19%
2025-08-01 13:38,58000000,57530000,0.81%,99.19%
2025-08-02 11:28,58000000,57530000,0.81%,99.19%
2025-08-04 14:25,58000000,57530000,0.81%,99.19%
2025-08-06 18:18,58000000,57530000,0.81%,99.19%
